Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
OR186809,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,GE.1,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81385080,Severe acute respiratory syndrome-related coronavirus,29718,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-07
OR186824,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,GE.1,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81456328,Severe acute respiratory syndrome-related coronavirus,29718,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-08
OR186825,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,CA-CDC-QDX81505427,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: California,CA,Homo sapiens,oronasopharynx,2023-06-08
OR186838,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81456379,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-08
OR186845,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.3,4.3/1.21/v0.1.12/0.3.18,true,TX-CDC-QDX81456307,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Texas,TX,Homo sapiens,oronasopharynx,2023-06-08
OR186847,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81456335,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-08
OR186851,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.3,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81456337,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-08
OR186852,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81456345,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-08
OR186853,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.11,4.3/1.21/v0.1.12/0.3.18,true,VA-CDC-QDX81456297,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Virginia,VA,Homo sapiens,oronasopharynx,2023-06-08
OR186856,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,NJ-CDC-QDX81456256,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2023-06-08
OR186861,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,true,GA-CDC-QDX81456237,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Georgia,GA,Homo sapiens,oronasopharynx,2023-06-08
OR186875,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,NJ-CDC-QDX81456261,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2023-06-08
OR186893,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.12,4.3/1.21/v0.1.12/0.3.18,true,CA-CDC-QDX81456375,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: California,CA,Homo sapiens,oronasopharynx,2023-06-09
OR186902,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,FL-CDC-QDX81456339,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-06-09
OR186908,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,true,PA-CDC-QDX81456295,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2023-06-09
OR186914,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.4,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-QDX81456273,Severe acute respiratory syndrome-related coronavirus,29718,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-09
OR186928,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,FK.1.3,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-QDX81456284,Severe acute respiratory syndrome-related coronavirus,29724,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-09
OR186938,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,FK.1.1,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-QDX81505408,Severe acute respiratory syndrome-related coronavirus,29724,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-10
OR186940,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,IN-CDC-QDX81456398,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: Indiana,IN,Homo sapiens,oronasopharynx,2023-06-10
OR186942,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,true,CA-CDC-QDX81505429,Severe acute respiratory syndrome-related coronavirus,29718,complete,USA: California,CA,Homo sapiens,oronasopharynx,2023-06-10
OR186956,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-QDX81505445,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-10
OR186968,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-26T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-QDX81557502,Severe acute respiratory syndrome-related coronavirus,29721,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-11
OR186576,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC SARS-CoV-2, Public Health Laboratory",USA,2023-06-25T00:00:00Z,FK.1.1,4.3/1.21/v0.1.12/0.3.18,,NY-PRL-230621_81A06,Severe acute respiratory syndrome-related coronavirus,29756,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-09
OR186580,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC SARS-CoV-2, Public Health Laboratory",USA,2023-06-25T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,,NY-PRL-230621_81A11,Severe acute respiratory syndrome-related coronavirus,29747,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-09
OR186583,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC SARS-CoV-2, Public Health Laboratory",USA,2023-06-25T00:00:00Z,XBB.2.3.7,4.3/1.21/v0.1.12/0.3.18,,NY-PRL-230621_81B03,Severe acute respiratory syndrome-related coronavirus,29753,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-10
OR186587,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC SARS-CoV-2, Public Health Laboratory",USA,2023-06-25T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,,NY-PRL-230621_81B07,Severe acute respiratory syndrome-related coronavirus,29752,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-12
OR186593,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC SARS-CoV-2, Public Health Laboratory",USA,2023-06-25T00:00:00Z,GE.1,4.3/1.21/v0.1.12/0.3.18,,NY-PRL-230621_81D02,Severe acute respiratory syndrome-related coronavirus,29739,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-14
OR186597,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC SARS-CoV-2, Public Health Laboratory",USA,2023-06-25T00:00:00Z,XBB.2.3.5,4.3/1.21/v0.1.12/0.3.18,,NY-PRL-230621_81E11,Severe acute respiratory syndrome-related coronavirus,29750,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-18
OR180109,Severe acute respiratory syndrome coronavirus 2,"Sadri,N., Alouani,D., Song,X., Jani,M.","University Hospitals, UHTL",USA,2023-06-23T00:00:00Z,CM.7.1,4.3/1.21/v0.1.12/0.3.18,,OH-UHTL-3182,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: Ohio,OH,Homo sapiens,oronasopharynx,2023-05-24
OR180681,Severe acute respiratory syndrome coronavirus 2,"Sadri,N., Alouani,D., Song,X., Jani,M.","University Hospitals, UHTL",USA,2023-06-23T00:00:00Z,CH.1.1.28,4.3/1.21/v0.1.12/0.3.18,,OH-UHTL-3185,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: Ohio,OH,Homo sapiens,oronasopharynx,2023-06-08
OR180688,Severe acute respiratory syndrome coronavirus 2,"Sadri,N., Alouani,D., Song,X., Jani,M.","University Hospitals, UHTL",USA,2023-06-23T00:00:00Z,CH.1.1.28,4.3/1.21/v0.1.12/0.3.18,,OH-UHTL-3192,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: Ohio,OH,Homo sapiens,oronasopharynx,2023-06-08
OR185383,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Howard,D., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Clines,C., Unoarumhi,Y., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D.","Centers for Disease Control and Prevention, Biotechnology Core Facility Branch",USA,2023-06-23T00:00:00Z,XBF,4.3/1.21/v0.1.12/0.3.18,true,MI-CDC-2-7083217,Severe acute respiratory syndrome-related coronavirus,29694,complete,USA: MI,MI,Homo sapiens,,2023-05-24
LC771577,Severe acute respiratory syndrome coronavirus 2,"Kashihara,M., Inoue,A.","Medical Center; 10-15 Fumizono-machi, Moriguchi-city, Osaka 570-8507",Japan,2023-06-22T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,kmumc011633,Severe acute respiratory syndrome-related coronavirus,29743,complete,Japan:Osaka,,Homo sapiens,,2023-06-09
OR167669,Severe acute respiratory syndrome coronavirus 2,"Fink,L.","Virginia Division of Consolidated Laboratory Services Sequencing Submission Group, Department of General Services Division of Consolidated Laboratory Services",USA,2023-06-22T00:00:00Z,DN.1,4.3/1.21/v0.1.12/0.3.18,true,VA-DCLS-15171,Severe acute respiratory syndrome-related coronavirus,29775,complete,USA: Virginia,VA,Homo sapiens,,2023-05-21
OR167670,Severe acute respiratory syndrome coronavirus 2,"Fink,L.","Virginia Division of Consolidated Laboratory Services Sequencing Submission Group, Department of General Services Division of Consolidated Laboratory Services",USA,2023-06-22T00:00:00Z,XBB.2.3.4,4.3/1.21/v0.1.12/0.3.18,true,VA-DCLS-15172,Severe acute respiratory syndrome-related coronavirus,29776,complete,USA: Virginia,VA,Homo sapiens,,2023-05-22
OR150516,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Thornburg,N., Unoarumhi,Y., Chau,R., Lacek,K.A., Mandal,P., Bajwa,M., Momin,N., Morrison,S., Gulvik,C., Sula,E., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-21T00:00:00Z,XBB.2.3.8,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-LC1044099,Severe acute respiratory syndrome-related coronavirus,29724,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-05
OR150528,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Thornburg,N., Unoarumhi,Y., Chau,R., Lacek,K.A., Mandal,P., Bajwa,M., Momin,N., Morrison,S., Gulvik,C., Sula,E., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-06-21T00:00:00Z,XBB.2.3.7,4.3/1.21/v0.1.12/0.3.18,true,NY-CDC-LC1044138,Severe acute respiratory syndrome-related coronavirus,29595,complete,USA: New York,NY,Homo sapiens,oronasopharynx,2023-06-05
